trajectory_id,task_name,task_category,total_actions,traj_overall_stability,traj_velocity_stability,traj_acceleration_stability,traj_jerk_stability,traj_position_stability,gripper_overall_stability,gripper_smoothness,gripper_frequency,gripper_coordination,gripper_changes,gripper_expected_changes,has_vla_explosion,has_erratic_gripper
20250513_044311_Tabletop-Move-Balls-WithDustpan-v1_pi0_gemini-2.0-flash,Tabletop-Move-Balls-WithDustpan-v1_pi0_gemini-2.0-flash,manipulation,410,0.12449281794756956,0.18727724691795108,3.208160668994495e-05,3.910579257846189e-09,0.8702774251774066,0.6604006142170552,0.847039027633163,0.32,0.7519500105459669,25,8,True,False
20250514_221325_Tabletop-Open-Cabinet-WithSwitch-v1_pi0_gemini-2.0-flash,Tabletop-Open-Cabinet-WithSwitch-v1_pi0_gemini-2.0-flash,interaction,410,0.008355226617857524,9.822749449846503e-08,1.3064025401816114e-11,1.5637126454044676e-15,0.08355206968438791,0.23828026218554982,8.865589201044684e-09,0.034934497816593885,0.7593330309811199,229,8,True,True
20250515_035253_Tabletop-Pick-Cube-WithDoor-v1_pi0_gemini-2.0-flash,Tabletop-Pick-Cube-WithDoor-v1_pi0_gemini-2.0-flash,manipulation,410,0.0003929964760827921,2.179961851753345e-08,4.3342614927264666e-12,6.905000398089771e-16,0.00392992114858534,0.2104816846521034,1.3057630163883328e-07,0.02909090909090909,0.6725145323143668,275,8,True,True
20250515_055843_Tabletop-Pick-Cube-WithStick-v1_pi0_gemini-2.0-flash,Tabletop-Pick-Cube-WithStick-v1_pi0_gemini-2.0-flash,manipulation,410,0.003350680298231045,2.7735625649954977e-08,3.6889260241110485e-12,4.415746837955726e-16,0.0335067474999906,0.2554953202915546,0.0054521209286983565,0.10126582278481013,0.7431157502821073,79,8,True,True
20250514_165339_Tabletop-Open-Cabinet-WithDoor-v1_pi0_gemini-2.0-flash,Tabletop-Open-Cabinet-WithDoor-v1_pi0_gemini-2.0-flash,interaction,410,0.06768417762308919,0.006115929713240933,8.587719978575111e-07,1.0501138493755736e-10,0.664607340068371,0.2379615254748093,9.856154937327014e-09,0.05405405405405406,0.7391510177204371,148,8,True,True
20250510_190945_Tabletop-Close-Door-WithObstacle-v1_pi0_gemini-2.0-flash,Tabletop-Close-Door-WithObstacle-v1_pi0_gemini-2.0-flash,interaction,410,0.06069990096216898,0.01709198608097959,2.414162480531591e-06,2.906463398552206e-10,0.5728077938097036,0.3278428294033925,0.036086320946722955,0.22857142857142856,0.8161229081775826,35,8,True,True
20250511_132721_Tabletop-Find-Dice-v1_pi0_gemini-2.0-flash,Tabletop-Find-Dice-v1_pi0_gemini-2.0-flash,navigation,410,0.18553175471020153,0.46092008021301306,0.000127271945639696,1.6341935715896945e-08,0.933095505471327,0.8739917709209627,0.9153334938574855,0.8888888888888888,0.8039723557043391,9,8,True,False
20250514_004948_Tabletop-Move-Line-WithStick-v1_pi0_gemini-2.0-flash,Tabletop-Move-Line-WithStick-v1_pi0_gemini-2.0-flash,manipulation,410,0.06525425011801939,0.018377954228321194,2.6605862565495835e-06,3.2278064279811684e-10,0.6157786096736592,0.5302702388135392,0.45881900686131805,0.38095238095238093,0.7748564059443255,21,8,True,True
20250510_160205_Tabletop-Clean-For-Dinner-v1_pi0_gemini-2.0-flash,Tabletop-Clean-For-Dinner-v1_pi0_gemini-2.0-flash,interaction,410,0.014267588125189547,5.283960735574433e-07,7.026389710754039e-11,8.410001118820136e-15,0.14267482424892303,0.24494493771551712,0.012843247418991746,0.05,0.7493587958264014,160,8,True,True
20250513_054710_Tabletop-Move-Balls-WithPivot-v1_pi0_gemini-2.0-flash,Tabletop-Move-Balls-WithPivot-v1_pi0_gemini-2.0-flash,manipulation,410,0.14699627030112358,0.2647301534270378,4.7892497412957165e-05,5.634975741651237e-09,0.9403586961250182,0.8173057095352405,0.8566164230681791,0.8888888888888888,0.6933082454710071,9,8,True,False
20250512_223540_Tabletop-Lift-Book-v1_pi0_gemini-2.0-flash,Tabletop-Lift-Book-v1_pi0_gemini-2.0-flash,other,410,0.008256904844007486,1.437709501006395e-07,1.9122120923403797e-11,2.2889877974422938e-15,0.08256876084079914,0.2524443837038594,3.678296617587904e-08,0.06666666666666667,0.7748145633022431,120,8,True,True
20250511_021814_Tabletop-Find-Cube-RedDown-v1_pi0_gemini-2.0-flash,Tabletop-Find-Cube-RedDown-v1_pi0_gemini-2.0-flash,navigation,410,0.002132290017314714,3.773208667693435e-08,5.0186080324860365e-12,6.007564758866471e-16,0.02132282469391556,0.2888225891662696,0.05895361558332948,0.1095890410958904,0.7745481020139025,73,8,True,True
20250515_022844_Tabletop-Pick-Cube-Slippery-v1_pi0_gemini-2.0-flash,Tabletop-Pick-Cube-Slippery-v1_pi0_gemini-2.0-flash,manipulation,410,0.12845087437630254,0.1949365719936806,3.135529039939732e-05,3.727916616220385e-09,0.8945415189927994,0.7169164580963381,0.9021065407591483,0.38095238095238093,0.8059604250232152,21,8,True,False
