trajectory_id,task_name,task_category,total_actions,traj_overall_stability,traj_velocity_stability,traj_acceleration_stability,traj_jerk_stability,traj_position_stability,gripper_overall_stability,gripper_smoothness,gripper_frequency,gripper_coordination,gripper_changes,gripper_expected_changes,has_vla_explosion,has_erratic_gripper
20250511_153641_Tabletop-Put-Cube-IntoMicrowave-v1_cogact_gpt-4o,Tabletop-Put-Cube-IntoMicrowave-v1_cogact_gpt-4o,manipulation,410,0.16689317205764997,0.3703359941908966,8.603408092244666e-05,1.0615739087978288e-08,0.9280015874889828,0.8096955354425491,0.9923376202367697,0.6666666666666666,0.7092016244928042,12,8,True,False
20250511_195957_Tabletop-Stack-Books-OnBox-v1_cogact_gpt-4o,Tabletop-Stack-Books-OnBox-v1_cogact_gpt-4o,other,410,0.14581725633178824,0.2726193295844501,5.810292365514145e-05,7.393256987357937e-09,0.9127595658049887,1.0,1.0,1.0,1.0,0,8,True,False
20250510_174857_Tabletop-Merge-USB-v1_cogact_gpt-4o,Tabletop-Merge-USB-v1_cogact_gpt-4o,complex,410,0.15140277080835313,0.2968680846835169,6.10777575921621e-05,7.43053955770709e-09,0.9201082757215628,0.9547869375885236,0.9975799466894838,1.0,0.8525165297091007,4,8,True,False
20250511_120038_Tabletop-Pick-Cube-WithStick-v1_cogact_gpt-4o,Tabletop-Pick-Cube-WithStick-v1_cogact_gpt-4o,manipulation,410,0.1859476755721337,0.4642647742330252,0.00016235923185056863,2.1470812030619868e-08,0.9304600436764866,0.9394641873510652,0.9986604683776629,1.0,0.8,2,8,True,False
20250511_181423_Tabletop-Slide-Cube-Into-Container-v1_cogact_gpt-4o,Tabletop-Slide-Cube-Into-Container-v1_cogact_gpt-4o,other,410,0.18218415427993642,0.4415182326234535,0.0001366802463741527,1.824977470196886e-08,0.9383949638142358,1.0,1.0,1.0,1.0,0,8,True,False
20250511_040241_Tabletop-Open-Cabinet-WithSwitch-v1_cogact_gpt-4o,Tabletop-Open-Cabinet-WithSwitch-v1_cogact_gpt-4o,interaction,410,0.14658873484570134,0.2698954305009151,5.515133980054604e-05,6.937430653876773e-09,0.925931005686059,0.7801810781595765,0.9900150037535939,0.5,0.7805835888604633,16,8,True,False
20250510_212002_Tabletop-Move-Cube-DynamicFriction-v1_cogact_gpt-4o,Tabletop-Move-Cube-DynamicFriction-v1_cogact_gpt-4o,manipulation,410,0.1556541531478038,0.31325439058363114,8.290390352705914e-05,1.1361373255547767e-08,0.9297839931547011,0.8899407013341141,0.9964937891399741,1.0,0.6378106189270815,6,8,True,False
20250511_012518_Tabletop-Open-Cabinet-WithDoor-v1_cogact_gpt-4o,Tabletop-Open-Cabinet-WithDoor-v1_cogact_gpt-4o,interaction,410,0.11135209508650061,0.1028266099312813,1.9008222244134478e-05,2.5468163874482772e-09,0.9078106961484455,0.6440648091127216,0.9622343163672225,0.1111111111111111,0.7527924974416642,72,8,True,False
20250511_034535_Tabletop-Open-Cabinet-WithSwitch-v1_cogact_gpt-4o,Tabletop-Open-Cabinet-WithSwitch-v1_cogact_gpt-4o,interaction,410,0.10799050228726027,0.0975516905082712,1.70142593450321e-05,2.2253556763167563e-09,0.8847505901766025,0.6874432655288337,0.9767442780283501,0.21621621621621623,0.7729356315087628,37,8,True,False
20250510_201124_Tabletop-Move-Balls-WithPivot-v1_cogact_gpt-4o,Tabletop-Move-Balls-WithPivot-v1_cogact_gpt-4o,manipulation,410,0.12996441343883122,0.1898743380117623,3.1907601568532826e-05,3.790705721028979e-09,0.9197997203972591,0.6743478817381358,0.9785159244342757,0.2,0.7431383732147515,40,8,True,False
20250510_215633_Tabletop-Move-Cube-DynamicFriction-v1_cogact_gpt-4o,Tabletop-Move-Cube-DynamicFriction-v1_cogact_gpt-4o,manipulation,410,0.223002285398737,0.6319535513151392,0.00026613479558463144,3.432531785673402e-08,0.9653172096690662,0.6250930614699886,0.9413772205931682,0.057971014492753624,0.7705028962829839,138,8,True,False
20250510_112445_Tabletop-Insert-Conical-v1_cogact_gpt-4o,Tabletop-Insert-Conical-v1_cogact_gpt-4o,manipulation,410,0.14667590996245364,0.27262935923484194,5.963002828466537e-05,7.672074602087276e-09,0.9213214603817,1.0,1.0,1.0,1.0,0,8,True,False
20250511_221008_Tabletop-Stack-LongObjects-v1_cogact_gpt-4o,Tabletop-Stack-LongObjects-v1_cogact_gpt-4o,other,410,0.17767148817576944,0.42662995107639456,0.00010018037358865763,1.188912360264604e-08,0.9231543909276446,0.7719740775221879,0.9881425706545953,0.47058823529411764,0.7851352622403819,17,8,True,False
20250511_150653_Tabletop-Put-Cube-IntoCabinetWithObstacle-v1_cogact_gpt-4o,Tabletop-Put-Cube-IntoCabinetWithObstacle-v1_cogact_gpt-4o,manipulation,410,0.11870658956491414,0.1582558317046691,3.225578230572522e-05,4.259745495797294e-09,0.8704574478539041,0.6348525814079261,0.9592689043640027,0.09876543209876543,0.7383846334423181,81,8,True,False
20250511_042827_Tabletop-Open-Door-WithCabinet-v1_cogact_gpt-4o,Tabletop-Open-Door-WithCabinet-v1_cogact_gpt-4o,interaction,410,0.20648095229092991,0.5454153628951784,0.00018528094852265583,2.3225635211252133e-08,0.9734228613708334,0.7436746160349805,0.9850317237443804,0.3333333333333333,0.8322064217907611,24,8,True,False
20250510_043521_Tabletop-Close-Drawer-WithLongObstacle-v1_cogact_gpt-4o,Tabletop-Close-Drawer-WithLongObstacle-v1_cogact_gpt-4o,interaction,410,0.10611275835672844,0.09731636961725652,1.9915643247659505e-05,2.9071746940490077e-09,0.8664350857743295,1.0,1.0,1.0,1.0,0,8,True,False
20250511_171647_Tabletop-Seek-Objects-InCabinet-v1_cogact_gpt-4o,Tabletop-Seek-Objects-InCabinet-v1_cogact_gpt-4o,navigation,410,0.11595141917762887,0.15004334986957835,3.13921113831352e-05,4.2486355751147065e-09,0.8593332987084402,0.628794542595678,0.9550344528889672,0.07547169811320754,0.7471308400204298,106,8,True,False
20250511_145959_Tabletop-Put-Cube-IntoCabinetWithObstacle-v1_cogact_gpt-4o,Tabletop-Put-Cube-IntoCabinetWithObstacle-v1_cogact_gpt-4o,manipulation,410,0.12001710471143487,0.15467156505584626,2.973298616974794e-05,3.893871852903165e-09,0.8907387024686595,0.6409050550451315,0.9572508681865672,0.10126582278481013,0.7587498697835385,79,8,True,False
20250511_005030_Tabletop-Move-Line-WithStick-v1_cogact_gpt-4o,Tabletop-Move-Line-WithStick-v1_cogact_gpt-4o,manipulation,410,0.16364131026630419,0.34469866159939927,8.121069281524084e-05,1.0209455452455143e-08,0.9467721065479756,0.9547166731826442,0.9953226819316491,1.0,0.8552920013666153,8,8,True,False
20250510_081706_Tabletop-Find-Cube-WithPivot-v1_cogact_gpt-4o,Tabletop-Find-Cube-WithPivot-v1_cogact_gpt-4o,navigation,410,0.17627448041500243,0.41160603678464774,0.00015171050258178237,2.269320764382575e-08,0.9390775083001528,0.8277314349197731,0.9918260478217408,0.7272727272727273,0.7093973253641954,11,8,True,False
20250511_140229_Tabletop-Pick-Object-FromCabinet-v1_cogact_gpt-4o,Tabletop-Pick-Object-FromCabinet-v1_cogact_gpt-4o,manipulation,410,0.12527157642723583,0.19751196287609316,5.1014201177890004e-05,7.451463939567972e-09,0.8575387661107824,0.6268166368837822,0.9547868885921473,0.0851063829787234,0.731233221844354,94,8,True,False
20250510_051601_Tabletop-Close-Drawer-WithObstacle-v1_cogact_gpt-4o,Tabletop-Close-Drawer-WithObstacle-v1_cogact_gpt-4o,interaction,410,0.11123333082979148,0.10572594835906265,1.894594389173518e-05,2.501559365792362e-09,0.9008245637418768,0.9341122036545515,0.9946750247215332,1.0,0.7874739792197943,8,8,True,False
20250511_202003_Tabletop-Stack-Books-v1_cogact_gpt-4o,Tabletop-Stack-Books-v1_cogact_gpt-4o,other,410,0.1995488343346656,0.5350493130714784,0.00018713713624990703,2.3386271823454977e-08,0.9248282122498622,1.0,1.0,1.0,1.0,0,8,True,False
20250510_190757_Tabletop-Move-Balls-WithPivot-v1_cogact_gpt-4o,Tabletop-Move-Balls-WithPivot-v1_cogact_gpt-4o,manipulation,410,0.15569909682486585,0.32116755009418013,7.249295264433265e-05,9.158824186853716e-09,0.9144383525670685,0.6474936204761482,0.9615865325857152,0.12121212121212122,0.7549845702607523,66,8,True,False
20250511_130726_Tabletop-Pick-Eraser-FromHolder-v1_cogact_gpt-4o,Tabletop-Pick-Eraser-FromHolder-v1_cogact_gpt-4o,manipulation,410,0.09810236587248942,0.07059834714215915,1.1903873985589988e-05,1.5267062176706124e-09,0.8397912467117943,0.7219556475278721,0.9869577043309774,0.3333333333333333,0.7572418859849374,24,8,True,False
20250511_125442_Tabletop-Pick-Cylinder-WithObstacle-v1_cogact_gpt-4o,Tabletop-Pick-Cylinder-WithObstacle-v1_cogact_gpt-4o,manipulation,410,0.13373625636520425,0.22131367425199394,5.590350879683202e-05,7.796094033710825e-09,0.894567473437288,0.7450836591782166,0.9883763333470855,0.4,0.7657770861312747,20,8,True,False
20250511_172002_Tabletop-Seek-Objects-InCabinet-v1_cogact_gpt-4o,Tabletop-Seek-Objects-InCabinet-v1_cogact_gpt-4o,navigation,410,0.11731279314531165,0.15966215287704127,3.335753057328434e-05,4.501570271503883e-09,0.8537035351010329,0.6181852632768723,0.9393051496054579,0.06153846153846154,0.7466722165771689,130,8,True,False
20250510_165204_Tabletop-Merge-USB-v1_cogact_gpt-4o,Tabletop-Merge-USB-v1_cogact_gpt-4o,complex,410,0.24073528222099766,0.7183118087322591,0.0003740339017534574,4.6365825715775915e-08,0.969606917576895,1.0,1.0,1.0,1.0,0,8,True,False
20250511_130416_Tabletop-Pick-Eraser-FromHolder-v1_cogact_gpt-4o,Tabletop-Pick-Eraser-FromHolder-v1_cogact_gpt-4o,manipulation,410,0.18200543331046082,0.4315732307345947,0.00012246465133781569,1.5356442455286917e-08,0.9565404162556355,0.6391300275950275,0.9468158028616839,0.07272727272727272,0.7952850821072404,110,8,True,False
20250510_120158_Tabletop-Insert-Objects-WithShape-v1_cogact_gpt-4o,Tabletop-Insert-Objects-WithShape-v1_cogact_gpt-4o,manipulation,410,0.13172888253822862,0.1996226767108527,3.7681950647389896e-05,4.687273699890542e-09,0.9179304073595438,0.6684844020661144,0.9706262881224186,0.1702127659574468,0.7639001900997096,47,8,True,False
20250511_110951_Tabletop-Pick-Cube-WithDoor-v1_cogact_gpt-4o,Tabletop-Pick-Cube-WithDoor-v1_cogact_gpt-4o,manipulation,410,0.10205261639841581,0.08293800570423421,1.498795518741911e-05,2.0378139985313595e-09,0.8546051805588714,0.6603394062085628,0.9757940898284229,0.19047619047619047,0.7095963771144549,42,8,True,False
20250511_054504_Tabletop-Pick-Cube-Slippery-v1_cogact_gpt-4o,Tabletop-Pick-Cube-Slippery-v1_cogact_gpt-4o,manipulation,410,0.1447840163303537,0.26982880879601323,5.310576957883702e-05,6.5865523664471614e-09,0.9080232020565646,1.0,1.0,1.0,1.0,0,8,True,False
20250510_133359_Tabletop-Insert-WithOrientation-v1_cogact_gpt-4o,Tabletop-Insert-WithOrientation-v1_cogact_gpt-4o,manipulation,410,0.17373422533474203,0.40674391493287343,0.00012110135532994383,1.594316961531603e-08,0.9234910556430049,0.684603726764142,0.9743503818383676,0.18604651162790697,0.7968320684680762,43,8,True,False
20250511_175444_Tabletop-Seek-Objects-WithObstacle-v1_cogact_gpt-4o,Tabletop-Seek-Objects-WithObstacle-v1_cogact_gpt-4o,navigation,410,0.12308825769275603,0.17647996378089123,3.627313129435355e-05,5.054688468960086e-09,0.8778138097531408,0.6183237405214648,0.9504969117958635,0.07547169811320754,0.7182782212305235,106,8,True,False
