trajectory_id,task_name,task_category,total_actions,traj_overall_stability,traj_velocity_stability,traj_acceleration_stability,traj_jerk_stability,traj_position_stability,gripper_overall_stability,gripper_smoothness,gripper_frequency,gripper_coordination,gripper_changes,gripper_expected_changes,has_vla_explosion,has_erratic_gripper
20250510_180630_Tabletop-Open-Door-WithObstacle-v1_gr00t_gemini-2.0-flash,Tabletop-Open-Door-WithObstacle-v1,interaction,410,0.07716457060754635,0.011372768626040926,1.5179845112450396e-06,1.806887287374378e-10,0.748895614147093,0.34421884547889214,0.2975857357642968,0.022922636103151862,0.7276925344740929,349,8,True,True
20250510_051113_Tabletop-Insert-Conical-v1_gr00t_gemini-2.0-flash,Tabletop-Insert-Conical-v1,manipulation,410,0.08514941942153494,0.019089444340634847,2.5712770038323276e-06,3.062135580431065e-10,0.8133075904782138,0.25579799402582054,0.07608214563817156,0.021333333333333333,0.7298837859018397,375,8,True,True
20250510_112134_Tabletop-Merge-Box-v1_gr00t_gemini-2.0-flash,Tabletop-Merge-Box-v1,complex,410,0.08486150350806153,0.018713049536642438,2.5133813996581174e-06,2.9650608230027943e-10,0.811181394677107,0.25185659660848125,0.0689272508999498,0.021505376344086023,0.7261136111509184,372,8,True,True
20250510_021115_Tabletop-Close-Drawer-WithObstacle-v1_gr00t_gemini-2.0-flash,Tabletop-Close-Drawer-WithObstacle-v1,interaction,410,0.08400376678886817,0.019861356000623092,2.7753813612499694e-06,3.3421576265444357e-10,0.8003066284064887,0.2755184311662875,0.12369933413646546,0.02197802197802198,0.7314843030609823,364,8,True,True
20250510_113354_Tabletop-Merge-Box-v1_gr00t_gemini-2.0-flash,Tabletop-Merge-Box-v1,complex,410,0.0843156772128694,0.01565719122613396,2.1107779819735604e-06,2.5395158410255615e-10,0.8118360563266738,0.32834950364429644,0.26128071219685706,0.02168021680216802,0.7244438457496775,369,8,True,True
20250510_150632_Tabletop-Move-Cube-WithHolder-v1_gr00t_gemini-2.0-flash,Tabletop-Move-Cube-WithHolder-v1,manipulation,410,0.08652044847011559,0.020012443650493737,2.7143148810532086e-06,3.279361375355556e-10,0.8251714531437806,0.3480892128199271,0.3024749295376082,0.021739130434782608,0.7352583395814968,368,8,True,True
20250510_152405_Tabletop-Move-Cube-WithPivot-v1_gr00t_gemini-2.0-flash,Tabletop-Move-Cube-WithPivot-v1,manipulation,410,0.08152539860944842,0.008003507885139354,9.920886510576813e-07,1.1174422427362605e-10,0.7992439936112753,0.3452784553655771,0.3065589505071085,0.021917808219178082,0.7202651089899343,365,8,True,True
20250510_045852_Tabletop-Insert-Conical-v1_gr00t_gemini-2.0-flash,Tabletop-Insert-Conical-v1,manipulation,410,0.08496389448542144,0.017013283060521817,2.2292813033938996e-06,2.6173902449807463e-10,0.8156056898423044,0.37257790048451556,0.37059681997253685,0.0221606648199446,0.7256365768317249,361,8,True,True
20250510_002539_Tabletop-Balance-Pivot-WithBalls-v1_gr00t_gemini-2.0-flash,Tabletop-Balance-Pivot-WithBalls-v1,interaction,410,0.08624184118197063,0.01808987024128568,2.3458788736233267e-06,2.726894554842575e-10,0.8262316326097563,0.34760597818698535,0.2990320306111318,0.0223463687150838,0.7376308510933582,358,8,True,True
20250510_025529_Tabletop-Find-Book-FromShelf-v1_gr00t_gemini-2.0-flash,Tabletop-Find-Book-FromShelf-v1,navigation,410,0.08153449337640639,0.014765390237102166,1.985042949505842e-06,2.3698521194527267e-10,0.7858081972130702,0.29294133795422406,0.16401766444668384,0.021220159151193633,0.7365607481006414,377,8,True,True
