trajectory_id,task_name,task_category,total_actions,traj_overall_stability,traj_velocity_stability,traj_acceleration_stability,traj_jerk_stability,traj_position_stability,gripper_overall_stability,gripper_smoothness,gripper_frequency,gripper_coordination,gripper_changes,gripper_expected_changes,has_vla_explosion,has_erratic_gripper
20250512_134454_Tabletop-Pick-Cube-Slippery-v1_gr00t_gpt-4o,Tabletop-Pick-Cube-Slippery-v1_gr00t_gpt-4o,manipulation,410,0.08365008211240452,0.016383086642919657,2.2090027215603843e-06,2.6390644223369974e-10,0.8037280197744153,0.35113219992189626,0.3117358093004848,0.02185792349726776,0.7329349971750734,366,8,True,True
20250511_121209_Tabletop-Open-Cabinet-WithSwitch-v1_gr00t_gpt-4o,Tabletop-Open-Cabinet-WithSwitch-v1_gr00t_gpt-4o,interaction,410,0.0847090892350363,0.01904854776840592,2.6671865457775477e-06,3.254509968676477e-10,0.8089857939521098,0.23514878936252512,0.022520633289719996,0.0215633423180593,0.7322384445040645,371,8,True,True
20250512_183306_Tabletop-Put-Cube-IntoCabinetWithObstacle-v1_gr00t_gpt-4o,Tabletop-Put-Cube-IntoCabinetWithObstacle-v1_gr00t_gpt-4o,manipulation,410,0.08425142170822002,0.018426255614812082,2.549515169854278e-06,3.1065779915393657e-10,0.8056540560644352,0.2315106115705416,0.01324427426536424,0.020618556701030927,0.7334244495136221,388,8,True,True
20250512_203415_Tabletop-Seek-Objects-InCabinet-v1_gr00t_gpt-4o,Tabletop-Seek-Objects-InCabinet-v1_gr00t_gpt-4o,navigation,410,0.08431157451456096,0.021735471393176522,3.0430703819386164e-06,3.693327803993185e-10,0.7996356716707795,0.22884316481245087,0.005684693959778465,0.020253164556962026,0.7349777928715029,395,8,True,True
20250511_233123_Tabletop-Find-Cube-RedDown-v1_gr00t_gpt-4o,Tabletop-Find-Cube-RedDown-v1_gr00t_gpt-4o,navigation,410,0.0831841110539083,0.015001461552917716,1.9702623379674726e-06,2.3314001531901027e-10,0.8018322757136735,0.2986331071657212,0.18298722576482812,0.022099447513812154,0.7293612753521543,362,8,True,True
20250511_234214_Tabletop-Find-Cube-RedDown-v1_gr00t_gpt-4o,Tabletop-Find-Cube-RedDown-v1_gr00t_gpt-4o,navigation,410,0.08454366551271905,0.017936919033911782,2.4652849360921105e-06,2.994452643823066e-10,0.8095554200067776,0.3316642223402914,0.25381089650899763,0.02168021680216802,0.7454526623201398,369,8,True,True
20250511_221830_Tabletop-Find-Cube-WithPivot-v1_gr00t_gpt-4o,Tabletop-Find-Cube-WithPivot-v1_gr00t_gpt-4o,navigation,410,0.08390652443535612,0.016069674160359464,2.1391734193798016e-06,2.5319805750086207e-10,0.8069194774997919,0.33796493649181636,0.2871523100461519,0.021917808219178082,0.7217622333586738,365,8,True,True
20250511_143416_Tabletop-Move-Cube-WithHolder-v1_gr00t_gpt-4o,Tabletop-Move-Cube-WithHolder-v1_gr00t_gpt-4o,manipulation,410,0.08363402226949768,0.016783380468512563,2.361314989753e-06,2.9037342850760723e-10,0.8027663766514886,0.22866290288464428,0.007942169623176554,0.021333333333333333,0.7302867834512455,375,8,True,True
20250512_190830_Tabletop-Put-Cube-IntoMicrowave-v1_gr00t_gpt-4o,Tabletop-Put-Cube-IntoMicrowave-v1_gr00t_gpt-4o,manipulation,410,0.08513357962522634,0.0177348538412313,2.325585789624312e-06,2.727651257075928e-10,0.8158591107213713,0.2714365899121088,0.10446419827571349,0.021108179419525065,0.7443948559198862,379,8,True,True
20250511_205702_Tabletop-Insert-Conical-v1_gr00t_gpt-4o,Tabletop-Insert-Conical-v1_gr00t_gpt-4o,manipulation,410,0.08409546884384897,0.01769289373950821,2.393879866580098e-06,2.860498197827638e-10,0.8055617181756742,0.229955055574243,0.007154524230033849,0.021108179419525065,0.7358693068545732,379,8,True,True
