trajectory_id,task_name,task_category,total_actions,traj_overall_stability,traj_velocity_stability,traj_acceleration_stability,traj_jerk_stability,traj_position_stability,gripper_overall_stability,gripper_smoothness,gripper_frequency,gripper_coordination,gripper_changes,gripper_expected_changes,has_vla_explosion,has_erratic_gripper
20250512_112258_Tabletop-Move-Balls-WithPivot-v1_pi0_gpt-4o,Tabletop-Move-Balls-WithPivot-v1_pi0_gpt-4o,manipulation,410,0.14022046742048158,0.23393049705439106,3.9911233265864935e-05,4.68948171153359e-09,0.934223927638309,0.8721807818047864,0.8855761776938522,1.0,0.7265010357574854,6,8,True,False
20250511_082650_Tabletop-Close-Drawer-WithLongObstacle-v1_pi0_gpt-4o,Tabletop-Close-Drawer-WithLongObstacle-v1_pi0_gpt-4o,interaction,410,0.0011108422990636201,4.9766665962232036e-08,6.61939146890163e-12,7.923855486342735e-16,0.011108323437442932,0.2577235798749423,0.06970577081477215,0.04371584699453552,0.7224217248355761,183,8,True,True
20250512_012849_Tabletop-Insert-Objects-WithShape-v1_pi0_gpt-4o,Tabletop-Insert-Objects-WithShape-v1_pi0_gpt-4o,manipulation,410,0.06933469525180093,0.024443468074247358,3.523223734818893e-06,4.325925505089499e-10,0.6444494449679399,0.34854281051064123,0.09253694038784802,0.26666666666666666,0.77176011451834,30,8,True,True
20250512_034247_Tabletop-Keep-Pivot-Balance-v1_pi0_gpt-4o,Tabletop-Keep-Pivot-Balance-v1_pi0_gpt-4o,interaction,410,0.04791532457225122,0.006696833024878799,9.10416990937497e-07,1.0980115381786126e-10,0.46575684798257716,0.23865539764689292,8.814186420756129e-09,0.044444444444444446,0.7510735359596168,180,8,True,True
20250513_043856_Tabletop-Pick-Cube-WithStick-v1_pi0_gpt-4o,Tabletop-Pick-Cube-WithStick-v1_pi0_gpt-4o,manipulation,410,0.08732956293714475,0.15374975729003487,2.6775396951076718e-05,3.26058933668759e-09,0.5657157755581671,0.7689305472489424,0.9264894131618552,0.5714285714285714,0.7563540351854295,14,8,True,False
20250513_064809_Tabletop-Pick-Cylinder-WithObstacle-v1_pi0_gpt-4o,Tabletop-Pick-Cylinder-WithObstacle-v1_pi0_gpt-4o,manipulation,410,0.12646788288639935,0.19377013090792114,3.368453845225047e-05,4.118883372599799e-09,0.8770374969572609,0.6487281997247117,0.7482321456261859,0.4444444444444444,0.7203400271363469,18,8,True,False
20250512_102630_Tabletop-Move-Balls-WithDustpan-v1_pi0_gpt-4o,Tabletop-Move-Balls-WithDustpan-v1_pi0_gpt-4o,manipulation,410,0.1110664813921532,0.12907549106641023,2.0097220603066404e-05,2.4099578305047418e-09,0.8524535304870708,0.48099503366892293,0.37599755593633355,0.32,0.7819867043146317,25,8,True,True
20250511_215901_Tabletop-Finish-Hanobi-v1_pi0_gpt-4o,Tabletop-Finish-Hanobi-v1_pi0_gpt-4o,complex,410,0.05622400102936134,0.0017091627736540653,2.2290258341810093e-07,2.616122059095261e-11,0.5588210159339101,0.24096360273185308,6.56520251473634e-08,0.049689440993788817,0.7535224805763546,161,8,True,True
20250513_020151_Tabletop-Pick-Cube-Slippery-v1_pi0_gpt-4o,Tabletop-Pick-Cube-Slippery-v1_pi0_gpt-4o,manipulation,410,0.009933810515832146,2.4522833736686234e-07,3.2611787459798136e-11,3.903184056293608e-15,0.09933761460379574,0.3390800237685463,0.15605377483935387,0.17391304347826086,0.7482820026310882,46,8,True,True
20250511_052636_Tabletop-Close-Cabinet-WithObstacle-v1_pi0_gpt-4o,Tabletop-Close-Cabinet-WithObstacle-v1_pi0_gpt-4o,interaction,410,0.02247917685406995,1.1581810438410712e-06,1.5400080837302295e-10,1.843161874774323e-14,0.22478945171653564,0.25772248808677894,0.047693876649773724,0.05,0.7454831247562316,160,8,True,True
