trajectory_id,task_name,task_category,total_actions,traj_overall_stability,traj_velocity_stability,traj_acceleration_stability,traj_jerk_stability,traj_position_stability,gripper_overall_stability,gripper_smoothness,gripper_frequency,gripper_coordination,gripper_changes,gripper_expected_changes,has_vla_explosion,has_erratic_gripper
20250515_234325_Tabletop-Rotate-USB-v1_pi0,Tabletop-Rotate-USB-v1_pi0,manipulation,410,0.07793487163979931,0.09190880325508599,1.380181807339634e-05,1.6646055612885124e-09,0.5954896977751787,0.5523128424405083,0.4629100983310403,0.4444444444444444,0.779384899249196,18,8,True,True
20250515_223531_Tabletop-Rotate-Cube-v1_pi0,Tabletop-Rotate-Cube-v1_pi0,manipulation,410,0.0003667859800470257,6.69946716984771e-08,8.961544794762164e-12,1.070634634327801e-15,0.0036677257842379425,0.25531785248149763,7.235945891985422e-08,0.07207207207207207,0.7789873397203081,111,8,True,True
20250515_214925_Tabletop-Rotate-Cube-v1_pi0,Tabletop-Rotate-Cube-v1_pi0,manipulation,410,0.0028226888317445203,1.0088705416356147e-07,1.3989982857407905e-11,1.7662875979841433e-15,0.02822668650135986,0.25830528619555776,1.3048692485733137e-07,0.08247422680412371,0.7785432198651691,97,8,True,True
20250515_040148_Tabletop-Open-Cabinet-v1_pi0,Tabletop-Open-Cabinet-v1_pi0,interaction,410,0.09901030240070223,0.06110148517748749,8.018418120841886e-06,8.801437599091791e-10,0.8678759948771098,0.48251115214115264,0.3320466628314725,0.38095238095238093,0.784689242409498,21,8,True,True
20250515_201103_Tabletop-Put-Ball-IntoContainer-v1_pi0,Tabletop-Put-Ball-IntoContainer-v1_pi0,manipulation,410,0.07425144502434963,0.06607306222828957,1.0138610077684624e-05,1.2518500372022983e-09,0.610337904949284,0.36681232484749027,0.2604689581452001,0.12903225806451613,0.7463835472335179,62,8,True,True
20250515_230033_Tabletop-Rotate-Holder-v1_pi0,Tabletop-Rotate-Holder-v1_pi0,manipulation,410,0.012222087415541658,2.2690310695858178e-07,3.018039728236131e-11,3.612815933655065e-15,0.122220420258647,0.33591984038622075,0.2390905103515627,0.064,0.7369454541519855,125,8,True,True
20250515_044009_Tabletop-Open-Cabinet-v1_pi0,Tabletop-Open-Cabinet-v1_pi0,interaction,410,0.00039952765040943,7.737780648314032e-07,9.261371320862225e-11,1.0265265609342722e-14,0.003993728670082436,0.33444065502981113,0.11941122012779556,0.14035087719298245,0.8152363460693273,57,8,True,True
20250515_021331_Tabletop-Close-Door-v1_pi0,Tabletop-Close-Door-v1_pi0,interaction,11,0.11429811702194874,0.10609413210571074,4.274731475656942e-05,1.5209561389952215e-08,0.9306646032255507,0.7103387218650625,0.2758468046626562,1.0,1.0,1,2,True,False
20250515_023643_Tabletop-Close-Microwave-v1_pi0,Tabletop-Close-Microwave-v1_pi0,interaction,410,0.08938797331401337,0.050051284552405824,7.480412432840652e-06,9.245158006386312e-10,0.7937547190999602,0.4225416643880324,0.17306995423521698,0.38095238095238093,0.7967598946941046,21,8,True,True
20250516_005524_Tabletop-Stack-Cubes-v1_pi0,Tabletop-Stack-Cubes-v1_pi0,other,410,0.19575053522019292,0.4930649754842798,0.00013194794996970597,1.5911347672301062e-08,0.9709794937380697,0.6496073413345638,0.8615424945668924,0.23529411764705882,0.7813403607122972,34,8,True,False
20250515_115340_Tabletop-Pick-Book-FromShelf-v1_pi0,Tabletop-Pick-Book-FromShelf-v1_pi0,manipulation,410,0.075623585785054,0.013942537822486932,1.90564988186929e-06,2.290405124556651e-10,0.7283450643397584,0.24877554267900226,2.2327245094758533e-08,0.06349206349206349,0.7657597156682839,126,8,True,True
20250515_102705_Tabletop-Pick-Apple-v1_pi0,Tabletop-Pick-Apple-v1_pi0,manipulation,410,0.05469473076862579,0.012174567787264091,1.6268394422862221e-06,1.904216504574236e-10,0.5225932908317162,0.27183936579849954,1.3055136643232437e-07,0.17391304347826086,0.7322180017815825,46,8,True,True
20250515_032457_Tabletop-Close-Microwave-v1_pi0,Tabletop-Close-Microwave-v1_pi0,interaction,410,0.08938797331401337,0.050051284552405824,7.480412432840652e-06,9.245158006386312e-10,0.7937547190999602,0.4225416643880324,0.17306995423521698,0.38095238095238093,0.7967598946941046,21,8,True,True
20250515_210401_Tabletop-Put-Fork-OnPlate-v1_pi0,Tabletop-Put-Fork-OnPlate-v1_pi0,manipulation,410,0.012049141665376014,2.2707041929855674e-07,3.0203118884138395e-11,3.615578767948404e-15,0.12049096242229772,0.24616454273491364,6.573811398560504e-08,0.07339449541284404,0.7471538927193828,109,8,True,True
20250515_065407_Tabletop-Open-Drawer-v1_pi0,Tabletop-Open-Drawer-v1_pi0,interaction,410,0.10439180774148207,0.06496548025890594,9.289919852227733e-06,1.101875869139415e-09,0.9139592427299487,0.4764151360370871,0.3705240401900078,0.38095238095238093,0.7130660189178992,21,8,True,True
20250515_211447_Tabletop-Put-Fork-OnPlate-v1_pi0,Tabletop-Put-Fork-OnPlate-v1_pi0,manipulation,410,0.012049141665376014,2.2707041929855674e-07,3.0203118884138395e-11,3.615578767948404e-15,0.12049096242229772,0.24616454273491364,6.573811398560504e-08,0.07339449541284404,0.7471538927193828,109,8,True,True
20250515_121908_Tabletop-Pick-Book-FromShelf-v1_pi0,Tabletop-Pick-Book-FromShelf-v1_pi0,manipulation,410,0.075623585785054,0.013942537822486932,1.90564988186929e-06,2.290405124556651e-10,0.7283450643397584,0.24877554267900226,2.2327245094758533e-08,0.06349206349206349,0.7657597156682839,126,8,True,True
