trajectory_id,task_name,task_category,total_actions,traj_overall_stability,traj_velocity_stability,traj_acceleration_stability,traj_jerk_stability,traj_position_stability,gripper_overall_stability,gripper_smoothness,gripper_frequency,gripper_coordination,gripper_changes,gripper_expected_changes,has_vla_explosion,has_erratic_gripper
20250728_205634_Tabletop-Find-Cube-WithPivot-PM-v1_cogact,Tabletop-Find-Cube-WithPivot-PM-v1_cogact,navigation,410,0.08779042900746664,0.0554205626938456,9.494648096816334e-06,1.2326972679120267e-09,0.7670346758118955,0.7564048979526722,0.9906383488063549,0.5,0.7004985281004338,16,8,True,False
20250728_220254_Tabletop-Find-Dice-PW-v1_cogact,Tabletop-Find-Dice-PW-v1_cogact,navigation,410,0.15606005905568515,0.30841722399320914,5.939851577958696e-05,7.069290420610267e-09,0.9435879187459328,0.9275195820298054,0.9973504508947976,1.0,0.7619313389062881,4,8,True,False
20250729_010914_Tabletop-Open-Door-WithCabinet-OD-v1_cogact,Tabletop-Open-Door-WithCabinet-OD-v1_cogact,interaction,410,0.12685769074674877,0.16458580514610033,2.7457302553840178e-05,3.3622197207830513e-09,0.9393229118187466,0.8435543945750402,0.9925826261500348,0.6666666666666666,0.8217378137167545,12,8,True,False
20250728_212806_Tabletop-Find-Cube-WithPivot-PP-v1_cogact,Tabletop-Find-Cube-WithPivot-PP-v1_cogact,navigation,410,0.08888205092176614,0.04386203930941851,7.539514714423209e-06,1.0088306406263119e-09,0.8010738080193585,0.7274871676216478,0.9880340386727169,0.4,0.7075785071752034,20,8,True,False
20250729_044229_Tabletop-Slide-Cube-Into-Container-PR-v1_cogact,Tabletop-Slide-Cube-Into-Container-PR-v1_cogact,other,410,0.11854473381256524,0.14517506830417629,2.5950629333172222e-05,3.2908509811223e-09,0.8950193364658963,0.7855116141533665,0.9918938812548758,0.5714285714285714,0.7244183007428157,14,8,True,False
20250729_041451_Tabletop-Seek-Objects-InCabinet-PA-v1_cogact,Tabletop-Seek-Objects-InCabinet-PA-v1_cogact,navigation,410,0.19159603636465075,0.48619845347007107,0.00013929794245104115,1.7310199590236418e-08,0.9431454936382137,0.7787111135651332,0.991006488796259,0.5,0.7743617268220988,16,8,True,False
20250729_003010_Tabletop-Open-Cabinet-WithSwitch-OS-v1_cogact,Tabletop-Open-Cabinet-WithSwitch-OS-v1_cogact,interaction,410,0.10826871715595485,0.11555538217076074,2.3650468251555987e-05,3.2154509466253823e-09,0.8515054429514686,0.9539566173943775,0.9973915434859437,1.0,0.8500000000000001,4,8,True,False
20250729_040217_Tabletop-Seek-Objects-InCabinet-PA-v1_cogact,Tabletop-Seek-Objects-InCabinet-PA-v1_cogact,navigation,410,0.2144051432457919,0.597132151114452,0.0002155767689084405,2.688961021762165e-08,0.9491402923638487,0.7583512996496473,0.9878896957696016,0.4444444444444444,0.7662069600282444,18,8,True,False
20250728_223322_Tabletop-Insert-Conical-PB-v1_cogact,Tabletop-Insert-Conical-PB-v1_cogact,manipulation,410,0.1657594772947651,0.37721995820212945,0.000102348140197362,1.319972100541694e-08,0.9028477593239158,0.9469168380704864,0.997483836803857,1.0,0.8264110111631453,4,8,True,False
20250728_220809_Tabletop-Find-Dice-PW-v1_cogact,Tabletop-Find-Dice-PW-v1_cogact,navigation,410,0.1872545052083408,0.4665033133626773,0.00013780200287944283,1.7558821921746687e-08,0.9391249491141275,0.6306160816373311,0.9514613339846273,0.08333333333333333,0.7501051601449339,96,8,True,False
20250728_230239_Tabletop-Move-Balls-WithDustpan-PB-v1_cogact,Tabletop-Move-Balls-WithDustpan-PB-v1_cogact,manipulation,410,0.1038209373496576,0.08479115434809628,1.267233383996268e-05,1.5292924818713808e-09,0.8685890416816935,0.6140543895957887,0.9418739679438836,0.049689440993788817,0.7413265670669954,161,8,True,False
20250728_221612_Tabletop-Find-Dice-PW-v1_cogact,Tabletop-Find-Dice-PW-v1_cogact,navigation,410,0.20169313396278954,0.5370206075684009,0.00016670421852839245,2.077221412255893e-08,0.9423899287466517,0.8789816979316001,0.9935402964793455,0.8,0.8052185977995396,10,8,True,False
20250729_041233_Tabletop-Seek-Objects-InCabinet-PA-v1_cogact,Tabletop-Seek-Objects-InCabinet-PA-v1_cogact,navigation,410,0.19821522678752063,0.5232425124062268,0.0001691739881776459,2.1546621210765408e-08,0.9351596349117347,0.7482102245378576,0.9897344331629386,0.42105263157894735,0.7533355393299931,19,8,True,False
20250729_001526_Tabletop-Open-Cabinet-WithSwitch-OS-v1_cogact,Tabletop-Open-Cabinet-WithSwitch-OS-v1_cogact,interaction,410,0.12479907402147317,0.18350443568163194,3.856718973166652e-05,5.2167575000657444e-09,0.8808661464152426,0.708870496035147,0.9832448292699725,0.2857142857142857,0.7661942620429077,28,8,True,False
20250728_230551_Tabletop-Move-Balls-WithDustpan-PB-v1_cogact,Tabletop-Move-Balls-WithDustpan-PB-v1_cogact,manipulation,410,0.15159187237448235,0.31129741421442475,7.160172713994242e-05,9.214621499700475e-09,0.8931090532760679,0.6862338483477562,0.9790116145880554,0.21052631578947367,0.7715710259189732,38,8,True,False
20250729_041953_Tabletop-Slide-Cube-Into-Container-PC-v1_cogact,Tabletop-Slide-Cube-Into-Container-PC-v1_cogact,other,410,0.1147891377999532,0.13972541315782197,2.2907078242436526e-05,2.7942039637174737e-09,0.8683718192723449,0.7439423796762965,0.9893735495967025,0.4444444444444444,0.7161987550142739,18,8,True,False
20250729_043746_Tabletop-Slide-Cube-Into-Container-PC-v1_cogact,Tabletop-Slide-Cube-Into-Container-PC-v1_cogact,other,410,0.10847267889550122,0.12345559967728444,2.455474855266063e-05,3.3630805317244214e-09,0.837741911902463,0.6721614517284304,0.9749794407845452,0.17391304347826086,0.7666525412371137,46,8,True,False
20250729_020026_Tabletop-Pick-Cube-WithDoor-PC-v1_cogact,Tabletop-Pick-Cube-WithDoor-PC-v1_cogact,manipulation,410,0.1401242559385357,0.23562257347827023,4.4361128699605495e-05,5.596967612201024e-09,0.9298643066548471,0.729232615686682,0.9869292185482648,0.36363636363636365,0.7512333972548898,22,8,True,False
20250729_014112_Tabletop-Pick-Cube-WithDoor-OD-v1_cogact,Tabletop-Pick-Cube-WithDoor-OD-v1_cogact,manipulation,410,0.23435155853069659,0.687529730964888,0.0003525184803251914,4.470774924335488e-08,0.9673983891052174,0.939971842585567,0.9975831463152253,1.0,0.8031286135315896,4,8,True,False
20250729_034737_Tabletop-Seek-Objects-InCabinet-OD-v1_cogact,Tabletop-Seek-Objects-InCabinet-OD-v1_cogact,navigation,410,0.10473098053382944,0.07839350492777929,1.6857326763804818e-05,2.552207959641915e-09,0.8904722132936125,0.6847414156070423,0.9818813901476041,0.25,0.7232961984933354,32,8,True,False
20250728_205147_Tabletop-Find-Cube-WithPivot-PM-v1_cogact,Tabletop-Find-Cube-WithPivot-PM-v1_cogact,navigation,410,0.12934876901545667,0.20455190091705178,5.233504774908697e-05,7.149726549056001e-09,0.8842268545783093,0.9312552847093625,0.996630327062379,1.0,0.7753438462813697,6,8,True,False
20250728_222047_Tabletop-Find-Dice-PW-v1_cogact,Tabletop-Find-Dice-PW-v1_cogact,navigation,410,0.16389728913399138,0.34596106941567834,7.477097919241939e-05,9.195406949401216e-09,0.9468264027893518,0.6918102452462709,0.9820766172447316,0.25,0.7465986611612607,32,8,True,False
20250729_034017_Tabletop-Seek-Objects-InCabinet-OD-v1_cogact,Tabletop-Seek-Objects-InCabinet-OD-v1_cogact,navigation,410,0.11413135380488908,0.11184536272710109,2.062178549863155e-05,2.7422992432309876e-09,0.9175609362689956,0.7735360602960608,0.990582978311149,0.5,0.7576762299053371,16,8,True,False
20250729_023820_Tabletop-Put-Cube-IntoMicrowave-PM-v1_cogact,Tabletop-Put-Cube-IntoMicrowave-PM-v1_cogact,manipulation,410,0.1807643685860811,0.43924560375189514,0.0001248931197246302,1.61189508942125e-08,0.9287777345220432,0.6375883583965634,0.9495751999331989,0.10126582278481013,0.7579284386261356,79,8,True,False
20250729_050132_Tabletop-Slide-Cube-Into-Container-PR-v1_cogact,Tabletop-Slide-Cube-Into-Container-PR-v1_cogact,other,410,0.15601119646120587,0.364218594338826,8.702007979843295e-05,1.0960961406970051e-08,0.8314136718511657,0.6746948090695027,0.9763449640965376,0.18181818181818182,0.7653712296181104,44,8,True,False
20250729_014326_Tabletop-Pick-Cube-WithDoor-OD-v1_cogact,Tabletop-Pick-Cube-WithDoor-OD-v1_cogact,manipulation,410,0.2022337359772527,0.5206156746464827,0.00014633339806871353,1.746372108411637e-08,0.9806669404304709,1.0,1.0,1.0,1.0,0,8,True,False
20250729_045915_Tabletop-Slide-Cube-Into-Container-PR-v1_cogact,Tabletop-Slide-Cube-Into-Container-PR-v1_cogact,other,410,0.19016768626090663,0.4897358216197089,0.00014549735763868588,1.8426063017540894e-08,0.9217686535924804,1.0,1.0,1.0,1.0,0,8,True,False
20250729_000747_Tabletop-Open-Cabinet-WithSwitch-OC-v1_cogact,Tabletop-Open-Cabinet-WithSwitch-OC-v1_cogact,interaction,410,0.09412137317144491,0.05195949148104491,1.1047579855014324e-05,1.7660240229457523e-09,0.837261598948698,0.6014084097883993,0.9316224599860964,0.05333333333333334,0.709198085979869,150,8,True,False
20250728_215737_Tabletop-Find-Dice-PR-v1_cogact,Tabletop-Find-Dice-PR-v1_cogact,navigation,410,0.17316953981469912,0.400378910075582,9.521522126892322e-05,1.1734983378393518e-08,0.930651885392087,0.9732936859235722,0.998782920491089,1.0,0.9126017257571221,2,8,True,False
20250728_234331_Tabletop-Move-Balls-WithDustpan-PP-v1_cogact,Tabletop-Move-Balls-WithDustpan-PP-v1_cogact,manipulation,410,0.0937054435276868,0.07561056423313478,1.3881938881727399e-05,1.8808910223910993e-09,0.7857916534703892,0.7477578664373254,0.9849120696325835,0.4,0.7793101286143067,20,8,True,False
20250729_031501_Tabletop-Rotate-Cube-Twice-RC-v1_cogact,Tabletop-Rotate-Cube-Twice-RC-v1_cogact,manipulation,410,0.1529127301614456,0.3110782172994568,9.390137183118404e-05,1.242556820601274e-08,0.9066891131977759,1.0,1.0,1.0,1.0,0,8,True,False
20250729_003809_Tabletop-Open-Door-WithCabinet-CC-v1_cogact,Tabletop-Open-Door-WithCabinet-CC-v1_cogact,interaction,410,0.13231772516293042,0.21829603512260826,4.127486447817446e-05,5.204393146915475e-09,0.8864613359730805,0.8804997240213223,0.9939652409268337,0.8,0.8097120921686292,10,8,True,False
20250728_233134_Tabletop-Move-Balls-WithDustpan-PP-v1_cogact,Tabletop-Move-Balls-WithDustpan-PP-v1_cogact,manipulation,410,0.13109862003302933,0.19791277086580325,3.913486271153845e-05,5.155497193494259e-09,0.9150432333885634,0.649891716154984,0.9616938020285907,0.11267605633802817,0.7713712614737976,71,8,True,False
20250729_011407_Tabletop-Open-Door-WithCabinet-OD-v1_cogact,Tabletop-Open-Door-WithCabinet-OD-v1_cogact,interaction,410,0.16708235310449124,0.35885436561024625,8.198555565029797e-05,9.798555706606823e-09,0.9528688039632459,0.9539540882403973,0.9965105026948756,1.0,0.85116629054149,6,8,True,False
20250728_232635_Tabletop-Move-Balls-WithDustpan-PP-v1_cogact,Tabletop-Move-Balls-WithDustpan-PP-v1_cogact,manipulation,410,0.11166735916561218,0.13774868749203176,2.4460532977814775e-05,3.104155585542595e-09,0.8411028226565026,0.8330831180493297,0.9924935911092779,0.6666666666666666,0.7869522720187282,12,8,True,False
20250728_231756_Tabletop-Move-Balls-WithDustpan-PB-v1_cogact,Tabletop-Move-Balls-WithDustpan-PB-v1_cogact,manipulation,410,0.15032599103220629,0.3011997422824776,8.703304518935892e-05,1.2060780011408775e-08,0.9005992783784194,0.6401467999860442,0.9610482904401827,0.0975609756097561,0.7548639704234807,82,8,True,False
20250728_225948_Tabletop-Move-Balls-WithDustpan-PB-v1_cogact,Tabletop-Move-Balls-WithDustpan-PB-v1_cogact,manipulation,410,0.15429635405165065,0.3122908439595609,6.716816711649879e-05,8.467947662223628e-09,0.9181803142242446,0.7007688278760481,0.9841892981057702,0.2962962962962963,0.727347399149504,27,8,True,False
20250729_045023_Tabletop-Slide-Cube-Into-Container-PR-v1_cogact,Tabletop-Slide-Cube-Into-Container-PR-v1_cogact,other,410,0.093744516611616,0.06914253969143627,1.3206595415020872e-05,1.829128597447586e-09,0.7991204596305279,0.727023035291771,0.9876118689703985,0.36363636363636365,0.7429579287090085,22,8,True,False
20250729_031224_Tabletop-Rotate-Cube-Twice-RC-v1_cogact,Tabletop-Rotate-Cube-Twice-RC-v1_cogact,manipulation,410,0.1324992415007202,0.21447383828699265,4.7106492875602974e-05,6.065072858113e-09,0.8959033946942985,1.0,1.0,1.0,1.0,0,8,True,False
20250728_235318_Tabletop-Open-Cabinet-WithSwitch-OC-v1_cogact,Tabletop-Open-Cabinet-WithSwitch-OC-v1_cogact,interaction,410,0.23742292263179698,0.6963083288456258,0.0003676237959221223,4.490321359277751e-08,0.9805095176260975,1.0,1.0,1.0,1.0,0,8,True,False
20250728_213800_Tabletop-Find-Dice-PR-v1_cogact,Tabletop-Find-Dice-PR-v1_cogact,navigation,410,0.22604397820232972,0.651744219811767,0.00026991410589832175,3.301197169249837e-08,0.9561414680341811,0.6943618536273412,0.97341009563131,0.22857142857142856,0.7880879560112953,35,8,True,False
20250729_010636_Tabletop-Open-Door-WithCabinet-OD-v1_cogact,Tabletop-Open-Door-WithCabinet-OD-v1_cogact,interaction,410,0.1647765782442246,0.34531897413284,8.242238753026548e-05,1.0728224935259185e-08,0.9568805241010752,0.7631292783574742,0.9871696498607486,0.42105263157894735,0.806485429798302,19,8,True,False
20250729_015100_Tabletop-Pick-Cube-WithDoor-PC-v1_cogact,Tabletop-Pick-Cube-WithDoor-PC-v1_cogact,manipulation,410,0.10176385998361538,0.06729751670587096,9.968095086905045e-06,1.2134374770254573e-09,0.8830136572854012,0.6485660551771428,0.965882039382114,0.13114754098360656,0.7428965904307172,61,8,True,False
20250729_034957_Tabletop-Seek-Objects-InCabinet-OD-v1_cogact,Tabletop-Seek-Objects-InCabinet-OD-v1_cogact,navigation,410,0.10706345044943227,0.0859157748856854,2.0461491353381386e-05,3.30056775013205e-09,0.8987415570466207,0.8252302786280925,0.9925856866737742,0.6666666666666666,0.7606533465286095,12,8,True,False
20250728_223058_Tabletop-Insert-Conical-PB-v1_cogact,Tabletop-Insert-Conical-PB-v1_cogact,manipulation,410,0.17763904785360568,0.43751517735917705,0.0001308513490339618,1.6802234656884002e-08,0.900967502561662,0.9154989713548323,0.9986654877957455,1.0,0.7201092541217804,2,8,True,False
20250728_223827_Tabletop-Insert-Conical-PB-v1_cogact,Tabletop-Insert-Conical-PB-v1_cogact,manipulation,410,0.17657227277559973,0.42598892549695105,0.00011888774477494747,1.5240155358753333e-08,0.913388152567149,0.9249229811463989,0.9960384916878584,1.0,0.7550252815708518,6,8,True,False
20250728_233411_Tabletop-Move-Balls-WithDustpan-PP-v1_cogact,Tabletop-Move-Balls-WithDustpan-PP-v1_cogact,manipulation,410,0.13141618955394857,0.19004271890550578,3.262297027939089e-05,3.9530691472713185e-09,0.9339785730053592,0.6215095027906863,0.9395421089013118,0.05442176870748299,0.7645537620597223,147,8,True,False
20250728_211607_Tabletop-Find-Cube-WithPivot-PP-v1_cogact,Tabletop-Find-Cube-WithPivot-PP-v1_cogact,navigation,410,0.14196984527060869,0.2612213824036866,5.663535129957114e-05,7.2869547471438725e-09,0.8970857526969958,0.8833425202076687,0.9944038594899213,0.8,0.8186032547056674,10,8,True,False
20250729_042951_Tabletop-Slide-Cube-Into-Container-PC-v1_cogact,Tabletop-Slide-Cube-Into-Container-PC-v1_cogact,other,410,0.12145274483720145,0.1673752530199985,3.2989680093530895e-05,4.290905527429075e-09,0.8796779561281146,0.665525629228441,0.9696654583090618,0.17777777777777778,0.7477537085716097,45,8,True,False
20250729_002732_Tabletop-Open-Cabinet-WithSwitch-OS-v1_cogact,Tabletop-Open-Cabinet-WithSwitch-OS-v1_cogact,interaction,410,0.1492549223288661,0.3008435561205069,6.92083804860483e-05,9.160903641428966e-09,0.8906544492625744,0.946436798029671,0.9973419950741774,1.0,0.825,4,8,True,False
20250728_205419_Tabletop-Find-Cube-WithPivot-PM-v1_cogact,Tabletop-Find-Cube-WithPivot-PM-v1_cogact,navigation,410,0.16954705585811924,0.4056074207819765,0.0001184038285137926,1.529915079768625e-08,0.8839004443350947,0.9724850218869414,0.9987842461410081,1.0,0.9099044114351273,2,8,True,False
