trajectory_id,task_name,task_category,total_actions,traj_overall_stability,traj_velocity_stability,traj_acceleration_stability,traj_jerk_stability,traj_position_stability,gripper_overall_stability,gripper_smoothness,gripper_frequency,gripper_coordination,gripper_changes,gripper_expected_changes,has_vla_explosion,has_erratic_gripper
20250728_220455_Tabletop-Find-Cube-WithPivot-PM-v1_pi0,Tabletop-Find-Cube-WithPivot-PM-v1_pi0,navigation,410,0.023874525584179792,1.2654922840928195e-06,1.6832118488138649e-10,2.014921156332768e-14,0.23874272435218555,0.8411101701816588,0.90225381309458,0.8,0.8006954831460892,10,8,True,False
20250729_031929_Tabletop-Find-Dice-PR-v1_pi0,Tabletop-Find-Dice-PR-v1_pi0,navigation,410,0.025186363656784498,1.322186046651855e-06,1.758715813130866e-10,2.1053882223680554e-14,0.2518609916680527,0.8172061515024172,0.9741174829222877,0.6666666666666666,0.7585305277783402,12,8,True,False
20250729_050317_Tabletop-Find-Dice-PW-v1_pi0,Tabletop-Find-Dice-PW-v1_pi0,navigation,410,0.012638595490539008,2.449228371169873e-07,3.256974873872879e-11,3.8984373852529885e-15,0.126385464961991,0.24610546245070491,6.691313236665546e-08,0.058823529411764705,0.7615279228730752,136,8,True,True
20250729_054144_Tabletop-Find-Dice-PW-v1_pi0,Tabletop-Find-Dice-PW-v1_pi0,navigation,410,0.012638595490539008,2.449228371169873e-07,3.256974873872879e-11,3.8984373852529885e-15,0.126385464961991,0.24610546245070491,6.691313236665546e-08,0.058823529411764705,0.7615279228730752,136,8,True,True
20250728_230000_Tabletop-Find-Cube-WithPivot-PM-v1_pi0,Tabletop-Find-Cube-WithPivot-PM-v1_pi0,navigation,410,0.093435033730259,0.06123120475715851,8.79623404527701e-06,1.0569772476452316e-09,0.8118615348582282,0.4543806248683129,0.42911135247879756,0.18181818181818182,0.7606354311044644,44,8,True,True
20250729_092053_Tabletop-Move-Balls-WithDustpan-PB-v1_pi0,Tabletop-Move-Balls-WithDustpan-PB-v1_pi0,manipulation,410,0.006183039389599408,5.057406297123523e-08,6.7271262844704685e-12,8.052919335799808e-16,0.06183029272768353,0.3192459814163626,0.16682367143710652,0.1038961038961039,0.7378256055756294,77,8,True,True
20250728_232620_Tabletop-Find-Cube-WithPivot-PP-v1_pi0,Tabletop-Find-Cube-WithPivot-PP-v1_pi0,navigation,410,0.0049766694397607855,4.360110294488699e-08,5.799182259006523e-12,6.941920064258573e-16,0.04976660717800164,0.26222172934363125,6.690292197921236e-08,0.13559322033898305,0.7384791216025586,59,8,True,True
20250729_000942_Tabletop-Find-Cube-WithPivot-PP-v1_pi0,Tabletop-Find-Cube-WithPivot-PP-v1_pi0,navigation,410,0.06244747705698593,0.007642935077228165,1.0186649545894394e-06,1.2148477934630506e-10,0.6091858439346001,0.608969890812938,0.6770907676868446,0.34782608695652173,0.7792858588374784,23,8,True,False
20250729_072309_Tabletop-Move-Balls-WithDustpan-PB-v1_pi0,Tabletop-Move-Balls-WithDustpan-PB-v1_pi0,manipulation,410,0.13712619565367062,0.22367731622423373,4.14717639557485e-05,5.162070675729066e-09,0.9237828881480886,0.672844690170013,0.791152460559187,0.36363636363636365,0.8243093228514305,22,8,True,False
20250728_213109_Tabletop-Find-Cube-WithPivot-PM-v1_pi0,Tabletop-Find-Cube-WithPivot-PM-v1_pi0,navigation,410,0.07851857341883914,0.08527424035599772,1.4261161463123417e-05,1.757600366356998e-09,0.6145944629616051,0.5654370347826407,0.3303842570791184,0.6666666666666666,0.7776111065033112,12,8,True,True
20250729_085144_Tabletop-Move-Balls-WithDustpan-PB-v1_pi0,Tabletop-Move-Balls-WithDustpan-PB-v1_pi0,manipulation,410,0.12037700770272702,0.16261158761806227,2.808946184599901e-05,3.4596018020475074e-09,0.8784626195672004,0.7091937833294195,0.8611186833239924,0.42105263157894735,0.7947684017537943,19,8,True,False
20250729_070017_Tabletop-Insert-Conical-PB-v1_pi0,Tabletop-Insert-Conical-PB-v1_pi0,manipulation,240,0.003716122999953063,6.554429321417588e-08,8.702698024148227e-12,1.0399511077482818e-15,0.03716109888483195,0.2422107940148302,7.655835388405358e-08,0.06153846153846154,0.7458307497665007,65,4,True,True
20250729_062223_Tabletop-Insert-Conical-PB-v1_pi0,Tabletop-Insert-Conical-PB-v1_pi0,manipulation,240,0.003716122999953063,6.554429321417588e-08,8.702698024148227e-12,1.0399511077482818e-15,0.03716109888483195,0.2422107940148302,7.655835388405358e-08,0.06153846153846154,0.7458307497665007,65,4,True,True
20250729_061459_Tabletop-Insert-Conical-PB-v1_pi0,Tabletop-Insert-Conical-PB-v1_pi0,manipulation,240,0.003716122999953063,6.554429321417588e-08,8.702698024148227e-12,1.0399511077482818e-15,0.03716109888483195,0.2422107940148302,7.655835388405358e-08,0.06153846153846154,0.7458307497665007,65,4,True,True
20250728_213728_Tabletop-Find-Cube-WithPivot-PM-v1_pi0,Tabletop-Find-Cube-WithPivot-PM-v1_pi0,navigation,410,0.00542132475192015,9.596744399203196e-08,1.2764872768480585e-11,1.5280660046117616e-15,0.05421305554601278,0.26021720915943275,1.3048572543224489e-07,0.1038961038961039,0.7634944193210381,77,8,True,True
