trajectory_id,task_name,task_category,total_actions,traj_overall_stability,traj_velocity_stability,traj_acceleration_stability,traj_jerk_stability,traj_position_stability,gripper_overall_stability,gripper_smoothness,gripper_frequency,gripper_coordination,gripper_changes,gripper_expected_changes,has_vla_explosion,has_erratic_gripper
20250515_073458_Tabletop-Rotate-Holder-v1_cogact,Tabletop-Rotate-Holder-v1_cogact,manipulation,410,0.12880871483062709,0.224917569717114,5.107787280612056e-05,6.75417333109392e-09,0.8380987482369312,0.7803746734528932,0.9898091433679546,0.5333333333333333,0.7481700536857048,15,8,True,False
20250515_045119_Tabletop-Pick-Bottle-v1_cogact,Tabletop-Pick-Bottle-v1_cogact,manipulation,410,0.14283533378664354,0.25866055365873936,5.479144791109745e-05,7.060454727033394e-09,0.9108678279634045,0.7956119301817068,0.9921163767330967,0.5714285714285714,0.7577893601996558,14,8,True,False
20250515_053621_Tabletop-Pick-Cube-ToHolder-v1_cogact,Tabletop-Pick-Cube-ToHolder-v1_cogact,manipulation,410,0.19834285613744912,0.5111102987231698,0.0001472952337333703,1.7940772164734106e-08,0.9607660064638628,0.9337365189580117,0.9951972296493735,1.0,0.7855254236608744,8,8,True,False
20250515_032147_Tabletop-Open-Microwave-v1_cogact,Tabletop-Open-Microwave-v1_cogact,interaction,410,0.07939743080994142,0.07382942028215088,1.4145670568329943e-05,1.974283017059742e-09,0.6462730226262754,0.9380716808022803,0.9949907115832582,1.0,0.8002513205632568,8,8,True,False
20250515_010920_Tabletop-Close-Door-v1_cogact,Tabletop-Close-Door-v1_cogact,interaction,11,0.28552547517457205,0.9246807243251027,0.004413736623790509,1.582392716246327e-06,0.9926457636532784,1.0,1.0,1.0,1.0,0,2,True,False
20250515_010918_Tabletop-Close-Door-v1_cogact,Tabletop-Close-Door-v1_cogact,interaction,11,0.11015415928314708,0.08868258022316282,3.5039081921305095e-05,1.246224422910545e-08,0.9240712652904042,0.9669724783685891,0.9174311959214729,1.0,1.0,1,2,True,False
20250515_034525_Tabletop-Open-Trigger-v1_cogact,Tabletop-Open-Trigger-v1_cogact,interaction,410,0.12115817153234286,0.15893095795379666,2.772587899971527e-05,3.509485931658861e-09,0.8936366077408923,1.0,1.0,1.0,1.0,0,8,True,False
20250515_074813_Tabletop-Rotate-Holder-v1_cogact,Tabletop-Rotate-Holder-v1_cogact,manipulation,211,0.16891782170267217,0.4086217618962884,0.00017610705382701782,2.6415221232364636e-08,0.8714062664117788,0.7118612245651424,0.9803924652269334,0.26666666666666666,0.799014128247897,15,4,True,False
20250515_053902_Tabletop-Pick-Cube-ToHolder-v1_cogact,Tabletop-Pick-Cube-ToHolder-v1_cogact,manipulation,410,0.20291287566614286,0.5376703633097981,0.0001635960717132327,1.9885714017541227e-08,0.9532971622838362,0.7346388283015588,0.9887016548349953,0.4,0.7305272212252022,20,8,True,False
20250515_010828_Tabletop-Close-Cabinet-v1_cogact,Tabletop-Close-Cabinet-v1_cogact,interaction,110,0.11226010690375071,0.16150821256328843,3.764403069341334e-05,5.629651749573882e-09,0.799471689300243,0.7463144138288724,0.9912209666848747,0.5,0.666086757183075,4,2,True,False
20250515_064938_Tabletop-Put-Ball-IntoContainer-v1_cogact,Tabletop-Put-Ball-IntoContainer-v1_cogact,manipulation,410,0.15732647002560385,0.3749671514051689,9.313374214559223e-05,1.2033807731305097e-08,0.8230509480840329,0.7427007998372324,0.9899925836520783,0.4444444444444444,0.7112347768102255,18,8,True,False
20250515_025803_Tabletop-Open-Drawer-v1_cogact,Tabletop-Open-Drawer-v1_cogact,interaction,410,0.18730999787823943,0.46407994962541593,0.0001441970407500274,1.7908216771585833e-08,0.944507416776445,0.9077047949634373,0.9988975469898134,1.0,0.6938192538917065,2,8,True,False
20250515_005506_Tabletop-Close-Cabinet-v1_cogact,Tabletop-Close-Cabinet-v1_cogact,interaction,410,0.0903411569674838,0.040763025418112414,7.559005716734292e-06,1.0552841935049594e-09,0.8218628376003261,0.8564234407836328,0.992882878574016,0.6666666666666666,0.8642342978467544,12,8,True,False
20250515_015410_Tabletop-Open-Cabinet-v1_cogact,Tabletop-Open-Cabinet-v1_cogact,interaction,410,0.2178044151096387,0.6101817166641657,0.00021806902012261697,2.631475835065305e-08,0.9570264054486541,1.0,1.0,1.0,1.0,0,8,True,False
20250515_080834_Tabletop-Stack-Cubes-v1_cogact,Tabletop-Stack-Cubes-v1_cogact,other,410,0.20159609565230632,0.5332057156298009,0.00016390690024040212,1.9800888208442365e-08,0.9490577253591873,0.8321737663989597,0.9941721692918074,0.8,0.6483496622741223,10,8,True,False
20250515_014857_Tabletop-Close-Microwave-v1_cogact,Tabletop-Close-Microwave-v1_cogact,interaction,410,0.11487892268611216,0.13467019399514646,2.263798092555562e-05,2.7961450878638685e-09,0.8793809137434717,0.9446809006439021,0.9963623972501283,1.0,0.820453139146169,3,8,True,False
20250515_025016_Tabletop-Open-Drawer-v1_cogact,Tabletop-Open-Drawer-v1_cogact,interaction,410,0.21475855798856452,0.598376852797266,0.000224000346500536,2.8646166419617353e-08,0.9501597586669459,0.8923270661403928,0.9944772398521982,0.8,0.8484539006650447,10,8,True,False
20250515_041141_Tabletop-Pick-Apple-v1_cogact,Tabletop-Pick-Apple-v1_cogact,manipulation,410,0.2171057259836714,0.6069506586615957,0.00024661732072438057,3.097086827479597e-08,0.9564159666678762,1.0,1.0,1.0,1.0,0,8,True,False
20250515_062727_Tabletop-Pull-Pivot-v1_cogact,Tabletop-Pull-Pivot-v1_cogact,other,410,0.09229951905956757,0.037970095276485906,5.726674761560054e-06,7.015792240339725e-10,0.8470378172121024,1.0,1.0,1.0,1.0,0,8,True,False
20250515_055427_Tabletop-Pick-Pen-v1_cogact,Tabletop-Pick-Pen-v1_cogact,manipulation,410,0.15022494908525416,0.3093221873319694,7.531823609692662e-05,1.0001576948637492e-08,0.8833791214740041,1.0,1.0,1.0,1.0,0,8,True,False
20250515_055927_Tabletop-Pick-Pen-v1_cogact,Tabletop-Pick-Pen-v1_cogact,manipulation,410,0.17323834908477626,0.400208620101688,0.00011499338563436145,1.4634082165659185e-08,0.9316212119511547,1.0,1.0,1.0,1.0,0,8,True,False
